device,sample,times,process,task,Xvel_mean,Xvel_var,Xvel_std,Xvel_max,Xvel_min,Xvel_pk,Xvel_mid,Xvel_rms,Xvel_abs_xbar,Xvel_r,Xvel_S,Xvel_K,Yvel_mean,Yvel_var,Yvel_std,Yvel_max,Yvel_min,Yvel_pk,Yvel_mid,Yvel_rms,Yvel_abs_xbar,Yvel_r,Yvel_S,Yvel_K,Zvel_mean,Zvel_var,Zvel_std,Zvel_max,Zvel_min,Zvel_pk,Zvel_mid,Zvel_rms,Zvel_abs_xbar,Zvel_r,Zvel_S,Zvel_K,knee_mean,knee_var,knee_std,knee_max,knee_min,knee_pk,knee_mid,knee_rms,knee_abs_xbar,knee_r,knee_S,knee_K,ankle_mean,ankle_var,ankle_std,ankle_max,ankle_min,ankle_pk,ankle_mid,ankle_rms,ankle_abs_xbar,ankle_r,ankle_S,ankle_K
MOCAP,sample01,time01,back,task_cup,0.12007474684908782,0.016111072252851275,0.1269293986941216,0.6927683333333471,0.0010563999999998728,0.6927683333333471,0.06988854999999994,0.17472554788502961,0.12007474684908782,0.09146783705700104,1.6112636558349545,5.493381621818252,1.1898749700663345,1.592457231210543,1.2619260006872601,3.581872566666957,0.005271400000002888,3.581872566666957,0.4744028833333367,1.734433531618003,1.1898749700663345,0.7744807828231298,0.5827100016686337,1.6986138473322177,0.2874752624378111,0.07954937109547448,0.28204498062449984,0.9385630000000779,0.0005520999999929801,0.9385630000000779,0.1576136999999987,0.4027299313549501,0.287475262437811,0.2081427495396024,0.6737723128601278,1.9552789197287594,165.63224532100523,17.998760419281147,4.242494598615436,173.3724868201257,158.2650316579462,173.3724868201257,164.30292409990676,165.6865699159016,165.63224532100529,165.60520401573794,0.38671718331182453,1.7979195833790897,97.50613958015813,70.15602941708586,8.375919616202502,121.18090209554386,85.64750161505998,121.18090209554386,95.65323082272222,97.86523021605971,97.50613958015812,97.33201622796142,0.8856608323576952,3.0602764173267363
MOCAP,sample02,time01,back,task_cup,0.06767039408000024,0.004517573763407821,0.06721289878741893,0.34487913333333237,0.003834533333336243,0.34487913333333237,0.040011033333333515,0.09537743967181314,0.06767039408000028,0.05488289368794796,1.8213029973353485,6.110878039693948,0.7122887165333328,0.6663954055042896,0.8163304511680852,2.5034261000002007,0.00299273333333238,2.5034261000002007,0.2567423666666981,1.083397720694017,0.712288716533333,0.45579871200442446,0.8465464735897565,2.1612091487163263,0.22409687072000023,0.06527991861016988,0.25549935148678926,0.8854293999999818,0.0006874000000004913,0.8854293999999818,0.09228440000001714,0.3398519178652173,0.22409687072000015,0.15021643499885937,0.9780865263078595,2.5119701687208065,167.1881373575228,33.60536170540479,5.797013171056694,178.3746087473797,151.2935309111347,178.3746087473797,168.0478537564569,167.28860880162557,167.1881373575227,167.13706938673377,-0.8661204241442395,3.44806327555805,102.87359840691042,17.471065192981573,4.179840331039162,112.30828329065822,92.34062923828238,112.30828329065822,103.5919824616694,102.95847859394225,102.87359840691038,102.83071238807838,-0.435621434002659,2.5703500562422694
MOCAP,sample03,time01,back,task_cup,0.06496273891102226,0.0035314661977131575,0.059426140693411664,0.3223998999999739,0.0011011666666664367,0.3223998999999739,0.04605913333332765,0.08804330550663582,0.06496273891102224,0.053085130837175004,1.492514454491554,5.08322643936323,0.5795001334218683,0.42140321230869743,0.6491557689096643,2.085753399999924,0.00203856666666614,2.085753399999924,0.2268249333333203,0.8701859668741279,0.5795001334218682,0.3943389604073708,0.9360955053491199,2.382938893449406,0.16122992815405035,0.023032226433059258,0.15176371909339617,0.5417704333333213,0.0010623333333401083,0.5417704333333213,0.09841133333333973,0.2214211285438213,0.16122992815405024,0.1241626972511553,0.7829797983967414,2.124464993222516,163.89910949525157,172.71397942334323,13.142069069341526,175.26033446846773,134.17166540486616,175.26033446846773,170.61262442169652,164.4251564474238,163.8991094952518,163.622262049395,-1.1287162140164395,2.7273090232198394,118.38835075807826,29.092125050871957,5.393711621033512,135.25204067620353,109.08469506590734,135.25204067620353,117.86695103888925,118.51115441285957,118.3883507580778,118.32788619447334,0.7837958613639209,3.5598880230017036
MOCAP,sample04,time01,back,task_cup,0.08254385817610141,0.0070750560953501225,0.08411335265788733,0.6557902000000144,0.001843233333332062,0.6557902000000144,0.06353200000000425,0.11784966957079886,0.0825438581761015,0.06723031192558324,3.2229752227281927,19.164887036683638,0.8137218734591198,0.828410467135372,0.9101705703522676,2.7911539999998998,0.00408933333331983,2.7911539999998998,0.30850830000003293,1.2208823671759668,0.8137218734591192,0.5363667698885917,0.8169073176854482,2.1018181835710785,0.22025699899371085,0.06160668731076285,0.24820694452565756,0.7992604666666278,0.002120199999996442,0.7992604666666278,0.09050726666667366,0.3318430847802593,0.22025699899371076,0.150973290899863,0.9745362438605273,2.4125903389884926,170.41423479800744,104.74584929644283,10.23454196808254,179.22339208998855,141.9223881806233,179.22339208998855,175.3254173166356,170.72128534862554,170.41423479800747,170.25362092488666,-1.3757967715504136,3.429020829443793,93.81137317743428,31.407221581837035,5.604214626674913,110.7594201521057,82.29092486256263,110.7594201521057,94.17843316975336,93.97861969095779,93.81137317743433,93.7279455247196,0.21989202911278682,3.2888855123582905
MOCAP,sample05,time01,back,task_cup,0.10113340801564039,0.0171493649893366,0.13095558403266583,0.8129969333332969,0.002651733333333244,0.8129969333332969,0.05593446666666459,0.16546096580823713,0.10113340801564047,0.07597420894730327,3.038649647046118,13.898499391999511,0.6664079149071358,0.6200572277933274,0.7874371262477579,2.644799799999911,0.006530766666656714,2.644799799999911,0.17685140000000504,1.031579728786973,0.666407914907136,0.43281343436090985,0.9554180759747161,2.4031639800315925,0.20982159042033305,0.05551109017675189,0.23560791620137023,0.8633890666666334,0.0011378333333410217,0.8633890666666334,0.10190034999999277,0.31549356567649656,0.20982159042033302,0.14396846059428453,1.028104707914702,2.6819249712836215,163.34405868969796,128.97714720621045,11.356810608890616,173.91480955885655,135.7783250359596,173.91480955885655,169.17486202592698,163.73838479852463,163.34405868969802,163.13674636304634,-1.3021112895262228,3.1861802767505387,103.48237566812674,52.09340784699606,7.217576313901784,124.56094833568277,90.98332568677985,124.56094833568277,103.50261082664821,103.73377213697722,103.48237566812676,103.3577951593779,0.3978400895354249,2.810965992518516
MOCAP,sample06,time01,back,task_cup,0.09183188363636417,0.008384682527089344,0.09156791210401898,0.4802113666666583,0.003938800000002333,0.4802113666666583,0.05929769999999187,0.12968337356535756,0.0918318836363641,0.07244569617709912,1.5987793099561018,5.431878827213621,0.8717641994612796,0.9684343806093043,0.9840906363792434,2.9244394999998566,0.005830899999999649,2.9244394999998566,0.3184163333333524,1.3146890126838633,0.8717641994612797,0.5617425296705659,0.7885437155587172,2.02887187819195,0.27013121595959605,0.08845691125885097,0.2974170661862748,0.9526056666667468,0.00337700000000282,0.9526056666667468,0.11128033333333522,0.4017807674524267,0.27013121595959594,0.1875187437672127,0.9244534400141805,2.3363948008019944,145.6084647815483,300.06138832849814,17.322280113440556,163.30397498829075,104.40215183314287,163.30397498829075,151.78512047471006,146.63521543056387,145.60846478154838,145.05222513492765,-1.106732478295355,2.856161931873836,108.14890025596995,41.80125963443225,6.465389364487822,128.49703321165725,96.15522605587184,128.49703321165725,108.54514447966872,108.34198579595149,108.14890025596993,108.05329122395771,0.45702834625643934,3.114117037698501
MOCAP,sample07,time01,back,task_cup,0.0707585039481105,0.0034143460155595527,0.058432405526039684,0.3171244333333372,0.0034403666666660733,0.3171244333333372,0.051353966666668464,0.09176661646009567,0.07075850394811047,0.059827139407628405,1.296532596715956,4.552444175391058,0.7698033849407783,0.7399104352609055,0.860180466681792,2.734985333333229,0.0012858000000059583,2.734985333333229,0.28504843333332014,1.1543429675478538,0.7698033849407776,0.5063534397418616,0.7904932077826385,2.044425356008606,0.2117458592780597,0.052653954832345556,0.22946449579912262,0.7794840333333507,0.0015225333333294816,0.7794840333333507,0.10112663333332783,0.3122343090593175,0.21174585927805964,0.15020451507164922,0.973306015143576,2.492982635338277,169.76460722983344,72.06120741409018,8.48888728951505,178.25572748961704,148.81055717715665,178.25572748961704,173.65934762894406,169.9767133324848,169.76460722983333,169.65484538330378,-1.2747800348484803,3.1837405350484063,85.86526015585574,14.273106720123893,3.7779765377942587,93.33182753338978,79.23988729474264,93.33182753338978,86.04972635917227,85.94833336576642,85.86526015585576,85.82358158824758,-0.09289867273592724,1.6678010171012176
MOCAP,sample08,time01,back,task_cup,0.0983292179591838,0.005558796933512737,0.07455733990367908,0.3383677000000083,0.004896033333330603,0.3383677000000083,0.08048045000000108,0.12339948151421629,0.0983292179591838,0.08341936698431027,0.8502617312808817,3.1321844958593696,0.887749567891156,0.979008172661262,0.989448418393431,2.9453613333332282,0.0007690333333327603,2.9453613333332282,0.32962951666667184,1.3293259449631591,0.8877495678911553,0.5737861381904688,0.7446112994024721,1.9440439130437974,0.2218267104761905,0.05392799785574674,0.2322240251475862,0.7650110666666826,0.00156606666666004,0.7650110666666826,0.11410968333333607,0.32114652004409827,0.22182671047619074,0.15629949726753908,0.8347479452227161,2.2729912603082854,163.12981140373842,195.05510726140906,13.9662130608626,176.5048014134512,132.13428073026827,176.5048014134512,169.90945160617213,163.7265722962546,163.12981140373847,162.8165209362156,-0.9905331187647722,2.443559439338562,96.21529982109607,69.68093835223127,8.347510907583844,121.42445385934634,82.09142015535548,121.42445385934634,95.38545526433525,96.57673041688481,96.21529982109604,96.04029881515926,0.9502461882823755,3.856616242908544
MOCAP,sample09,time01,back,task_cup,0.09573283418336374,0.008493587831783955,0.09216066314748367,0.37689006666669783,0.0033467333333352806,0.37689006666669783,0.061891666666659795,0.13288477479592378,0.09573283418336373,0.07588526256792164,1.261165396848764,3.6730068009713177,0.8460180501517904,0.764692653948767,0.8744670685330391,2.7470051999998772,0.009342466666662962,2.7470051999998772,0.4291015666667009,1.2167330007571107,0.8460180501517905,0.5738102972441242,0.6082172324466365,1.7835246736304549,0.20526151760777156,0.04496563556258054,0.21205102113071878,0.72330476666665,0.0009972000000007778,0.72330476666665,0.10882873333333982,0.2951235777995822,0.2052615176077713,0.14648277522489683,0.8228131800805087,2.2024485625740615,163.20972878028164,27.217735365362365,5.217061947625537,174.6474534706007,149.47222472891033,174.6474534706007,163.34863777297593,163.29309019030308,163.20972878028135,163.1679100510815,-0.13468231652313906,3.0121469031444303,109.14088428507202,44.726912878083944,6.687818244994697,131.55955739906227,97.35934414043406,131.55955739906227,108.75121575891248,109.34559678105725,109.14088428507195,109.0400761233739,0.6406668985228751,3.4523187433199176
MOCAP,sample10,time01,back,task_cup,0.08943442821742593,0.00566166886448323,0.07524406198819432,0.3237849000000075,0.0031616333333336663,0.3237849000000075,0.0615285333333313,0.11687679759071574,0.08943442821742592,0.07473903607040587,1.0800711626235628,3.2453475574782664,1.0199810856914477,1.098104393520007,1.0479047635734877,3.2144043000002696,0.010884600000001467,3.2144043000002696,0.4994628999999849,1.4623494140212558,1.0199810856914475,0.6983455523168562,0.6309354249581274,1.8436556471339791,0.27407946578737,0.07518800547815258,0.27420431338356543,0.9048532999999622,0.0016677666666664022,0.9048532999999622,0.1598772666666566,0.38769518831737226,0.27407946578737025,0.19616294622908714,0.7405642057763904,2.1109964540906274,161.8186668190716,245.472049122083,15.667547642247111,176.47515029320263,127.52804593375164,176.47515029320263,169.77904120917844,162.57537630349742,161.81866681907167,161.41774243838097,-1.0247413900084932,2.5118273237843995,106.17804414332778,33.44733849355456,5.783367400879401,124.98768541755011,98.24156429380257,124.98768541755011,105.0700927023768,106.33543340108234,106.17804414332775,106.10121371586787,1.0015297484600227,3.4695996026678695
