device,sample,times,process,task,step_length,stride_length,left_step_length,right_step_length,left_stride_length,right_stride_length,stride_speed,stride_time,step_width
MOCAP,sample01,time01,back,task_cup,0.51965250775,1.0405802437142857,0.5097410314999999,0.5295639840000002,1.042280548,1.0393050155,2.1325202978851716,0.4885714285714288,0.18860323730740744
MOCAP,sample02,time01,back,task_cup,0.4056322358,0.8151554837777779,0.3830715638,0.4281929078,0.8112644716,0.8200192489999999,1.2798191443161904,0.6388888888888888,0.24841658802070055
MOCAP,sample03,time01,back,task_cup,0.3687562977272727,0.7472727538999999,0.3849298218,0.35527836100000004,0.7364950562,0.7580504516,1.0607059252629663,0.7060000000000001,0.19715093552380938
MOCAP,sample04,time01,back,task_cup,0.4432660937777777,0.891479188875,0.427359207,0.46314970224999996,0.8922873095000001,0.8906710682500001,1.4868962758816782,0.6075000000000002,0.189054846378987
MOCAP,sample05,time01,back,task_cup,0.4295880548000001,0.8619222805555558,0.3742017684000001,0.48497434120000005,0.8653549942500001,0.8591761096000002,1.2423570582572083,0.7011111111111114,0.21235622960145975
MOCAP,sample06,time01,back,task_cup,0.46680198400000006,0.9468696037500001,0.43066151880000003,0.5119775655000001,0.95138658675,0.9423526207500001,1.6598992933355636,0.57375,0.19879821064658632
MOCAP,sample07,time01,back,task_cup,0.407558615,0.8198880679999999,0.39023798200000004,0.424879248,0.81511723,0.8258516155,1.4315295154170042,0.5755555555555555,0.19078276607239048
MOCAP,sample08,time01,back,task_cup,0.4719705664444444,0.94542025525,0.46664670360000005,0.47862539500000006,0.94778918225,0.9430513282499999,1.6984080996309399,0.5587500000000001,0.21585625744827577
MOCAP,sample09,time01,back,task_cup,0.4221543085,0.8468560642222221,0.42812953060000003,0.41617908639999995,0.844308617,0.8500403732499999,1.4616686918256283,0.5811111111111111,0.1959448589112318
MOCAP,sample10,time01,back,task_cup,0.462725519375,0.9318542702857142,0.4591816862499999,0.4662693525,0.9254510387499999,0.9403919123333333,1.7419161889565766,0.5357142857142859,0.20885618664523803
MOCAP,sample11,time01,back,task_cup,0.47773759774999996,0.9594785925714288,0.49079656875000005,0.46467862675,0.9554751955,0.9648164553333333,1.7231841780955357,0.5571428571428575,0.2296938831801802
MOCAP,sample12,time01,back,task_cup,0.45869146425000007,0.9213632394285715,0.44155783225000006,0.4758250962500001,0.9266703206666668,0.9173829285000001,1.6855617001854222,0.548571428571428,0.19616730048027828
MOCAP,sample13,time01,back,task_cup,0.5254729372857144,1.047181106166667,0.5389111097500001,0.5075553740000002,1.052289942,1.0420722703333336,1.7569412958658182,0.5966666666666667,0.19855497190823532
MOCAP,sample14,time01,back,task_cup,0.418234993,0.8408041618888888,0.41679651799999995,0.41967346800000005,0.8462218817499999,0.836469986,1.258518432589919,0.6688888888888889,0.20035269835139066
MOCAP,sample15,time01,back,task_cup,0.48501666612500005,0.9782540538571428,0.4691731285000001,0.5008602037500001,0.9700333322500001,0.9892150160000002,2.2049817722713345,0.44428571428571423,0.19549168158550728
MOCAP,sample16,time01,back,task_cup,0.49779070614285725,0.9984733073333333,0.4948589476666667,0.49998952500000005,0.9907037049999999,1.0062429096666667,2.228745158724387,0.44833333333333353,0.17428275999999995
